RawFile,Project,Pipeline,UseDownstream,Flagged,Protein IDs,Majority protein IDs,Peptide counts all,Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5,Reporter intensity corrected 6,Reporter intensity corrected 7,Reporter intensity corrected 8,Reporter intensity corrected 9,Reporter intensity corrected 10,Reporter intensity corrected 11,Intensity,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,1|Chromosomal_replication_initiator_protein_DnaA|100.0%,1|Chromosomal_replication_initiator_protein_DnaA|100.0%,5,5,5,1|Chromosomal_replication_initiator_protein_DnaA|100.0%,1,5,5,5,9.7,9.7,9.7,51.955,453,453,0.0,35.301,368230.0,317920.0,313410.0,270970.0,257900.0,302280.0,268750.0,374010.0,450070.0,215310.0,322350.0,47731000,5,,,,0,657;1017;3137;4250;4265,True;True;True;True;True,679;1056;3259;4408;4424,875;1352;4154;5644;5664,903;1389;4276;5814;5835,903;1389;4276;5814;5835,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,1000|putative_protein_YloA|100.0%,1000|putative_protein_YloA|100.0%,3,3,3,1000|putative_protein_YloA|100.0%,1,3,3,3,8.3,8.3,8.3,65.901,565,565,0.0,17.109,92070.0,48872.0,61326.0,54795.0,48245.0,59987.0,46707.0,59000.0,92544.0,45888.0,65586.0,7438300,4,,,,1,317;587;838,True;True;True,333;608;872,448;786;1116,467;812;813;1149,467;813;1149,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,1001|Guanylate_kinase|100.0%,1001|Guanylate_kinase|100.0%,3,3,3,1001|Guanylate_kinase|100.0%,1,3,3,3,14.0,14.0,14.0,24.023,207,207,0.0,20.491,187790.0,197700.0,104930.0,173990.0,76467.0,91482.0,162520.0,116540.0,253330.0,123370.0,166340.0,43785000,3,,,,2,912;1593;1764,True;True;True,946;1645;1820,1205;2090;2301,1239;2150;2365,1239;2150;2365,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,1003|Coenzyme_A_biosynthesis_bifunctional_protein_CoaBC|100.0%,1003|Coenzyme_A_biosynthesis_bifunctional_protein_CoaBC|100.0%,4,4,4,1003|Coenzyme_A_biosynthesis_bifunctional_protein_CoaBC|100.0%,1,4,4,4,12.8,12.8,12.8,44.159,399,399,0.0,32.489,200280.0,157000.0,156440.0,149060.0,141060.0,137110.0,135830.0,197820.0,208730.0,119910.0,215730.0,34559000,6,,,,3,5;1277;1370;2469,True;True;True;True,5;1323;1417;2549,5;1683;1805;1806;3248,5;1729;1730;1856;1857;3345,5;1729;1857;3345,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,10035|putative_lipoprotein|100.0%,10035|putative_lipoprotein|100.0%,4,4,4,10035|putative_lipoprotein|100.0%,1,4,4,4,17.8,17.8,17.8,23.944,214,214,0.0,33.715,406720.0,381760.0,749150.0,700630.0,492760.0,865030.0,474510.0,916020.0,931750.0,188720.0,317650.0,217080000,6,,,,4,679;3139;3755;4467,True;True;True;True,702;3261;3897;4633,901;4156;4938;5958;5959,929;4278;5078;5079;6138;6139,929;4278;5079;6139,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,10037|Phosphoglucomutase|100.0%,10037|Phosphoglucomutase|100.0%,6,6,6,10037|Phosphoglucomutase|100.0%,1,6,6,6,10.0,10.0,10.0,68.327,602,602,0.0,40.441,264160.0,237100.0,210290.0,194800.0,184090.0,195600.0,223940.0,248100.0,319250.0,192110.0,194330.0,34754000,6,,,,5,272;467;498;1278;2322;3989,True;True;True;True;True;True,286;488;519;1324;2397;4138,389;647;682;1684;3065;5254,406;670;706;1731;3157;5413,406;670;706;1731;3157;5413,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,10077|Pur_operon_repressor|99.14%,10077|Pur_operon_repressor|99.14%,4,4,4,10077|Pur_operon_repressor|99.14%,1,4,4,4,20.5,20.5,20.5,30.928,278,278,0.0,39.499,355720.0,373560.0,358120.0,302670.0,289030.0,332040.0,331190.0,438540.0,508780.0,290770.0,370650.0,140290000,7,,,,6,126;2137;2257;2406,True;True;True;True,133;2206;2328;2483,191;192;2804;2805;2969;3161;3162,201;202;2884;2885;3058;3256;3257,202;2885;3058;3257,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,1008|Methionyl-tRNA_formyltransferase|100.0%,1008|Methionyl-tRNA_formyltransferase|100.0%,3,3,3,1008|Methionyl-tRNA_formyltransferase|100.0%,1,3,3,3,9.0,9.0,9.0,34.281,311,311,0.0,19.546,150510.0,107810.0,96594.0,97717.0,75969.0,100580.0,100730.0,122720.0,149460.0,70513.0,119110.0,18255000,3,,,,7,649;2029;2430,True;True;True,671;2096;2508,867;2672;3192,895;2749;3287,895;2749;3287,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,1009|Ribosomal_RNA_small_subunit_methyltransferase_B|100.0%,1009|Ribosomal_RNA_small_subunit_methyltransferase_B|100.0%,2,2,2,1009|Ribosomal_RNA_small_subunit_methyltransferase_B|100.0%,1,2,2,2,8.0,8.0,8.0,49.975,435,435,0.0,10.889,21802.0,19306.0,21963.0,16976.0,14372.0,19270.0,17847.0,22934.0,27870.0,13714.0,22861.0,7901600,3,,,,8,2775;3876,True;True,2885;4022,3693;5111,3804;5261;5262,3804;5262,,
SA001-R1-A-200507.raw,LSARP,Staphylococcus aureus (TMT11),True,False,10093|Monoacylglycerol_lipase|99.14%,10093|Monoacylglycerol_lipase|99.14%,3,1,1,10093|Monoacylglycerol_lipase|99.14%,1,3,1,1,12.8,5.8,5.8,36.224,313,313,0.0,7.2627,14298.0,25988.0,4098.9,2976.9,6555.4,4979.1,18082.0,6536.3,32706.0,14736.0,22799.0,6236900,1,,,,9,3946;4219;4322,True;False;False,4094;4377;4485,5194;5592;5746;5747,5350;5759;5920;5921,5350;5759;5920,,
